Metric Category,Question,Definition/Purpose,E' Numu Diip,River Select Foods,Many Nations,RTZ Artists
Membership and Constituency,How many members are currently in good standing?,Active members participating in governance,17,5,250,46
,By what percentage has membership grown since founding?,Growth trend indicating expansion or decline,Stable,Growing clients,Expanding,Declined 33%
,What percent of founding members are still active today?,Founder retention showing organizational stability,High,100%,High,Mixed
Founding and Timeline,In what year was the cooperative formally established?,Legal incorporation marking operational start,2017,2014,2009,2019
,How long from informal collaboration to formal co-op?,Development timeline (months),36,120,228,12
Governance and Leadership,How many directors currently serve on the board?,Board size affecting decision speed,5,5,Full board,Volunteer board
,Is continuity dependent on one or two key individuals?,Succession risk assessment,Yes,Moderate,No,Yes
,Is there a contingency plan for key-person unavailability?,Business continuity planning,No,Limited,Yes,No
Employment and Jobs,How many full-time employees does the co-op employ?,Direct employment creation,0,2,10,0
,How many part-time employees does the co-op employ?,Flexible employment opportunities,0,2,0,0
,"How many contractors, consultants, or advisors are engaged?",Extended professional workforce,1,2,20,2
,How many total jobs has the co-op created?,Total employment impact,1,4,30,2
Finance and Financial Discipline,Which bracket best describes current annual revenue?,Revenue scale indicating business maturity,$25K-$50K,$250K-$1M,>$200K,$25K-$50K
,How often are budgets/financials formally reviewed?,Financial oversight frequency,Monthly,Quarterly,Monthly,Ad hoc
,Are available lines of credit sufficient for operations?,Access to working capital,Grant dependent,$150K line,Debt free,No formal credit
Partnerships and External Support,How many active external partner organizations?,Network strength and resource access,6,170,170,5
,How many partners are non-Indigenous organizations?,Cross-cultural collaboration,3,Multiple,Several,3
,How many grants or external funding sources secured?,Funding diversification,5,Self-funded,Self-sustaining,2
"Programs, Services, and Training",How many new programs or services added since founding?,Innovation and expansion beyond original scope,4 planned,Multiple,Several,Apprenticeships
,How many training or workforce development programs offered?,Capacity building initiatives,Planning,Active,Education fund,3 per year
,How many community engagement events organized?,Outreach and education activities,Limited,30+,Regional,4+
Innovation and Offering Development,How many notable new practices or platforms developed?,Breakthrough innovations creating advantage,4,5,4,3
,How many new products or services launched?,Product/service expansion,Seed farm,6 products,Custom insurance,Gallery services
,Does the co-op offer uniquely difficult to source products?,Market differentiation,Land services,Indigenous seafood,Cultural insurance,Authentic art
Operations and Supply Chain,Does value chain rely on external processing?,Operational independence vs outsourcing,No,Yes,Partnerships,No
,Does co-op own equipment difficult for single member to afford?,Shared infrastructure economies,640 acres,Yes,Office space,Equipment
,Does co-op employ non-member workers?,Workforce beyond membership,Yes,Yes,Yes,Limited
,Are inputs sourced mainly from local area?,Local economic impact,Yes planned,Yes,Service based,Local artists
,Are outputs purchased mainly within local community?,Market orientation,Future local,No - national,B2B national,Yes - local
Markets and Sales Channels,How many primary recurring revenue streams?,Revenue diversification,2,3,2,1
,Do customers buy directly or via distributors?,Market relationship structure,Direct planned,Mixed,B2B,Direct
,What is the main sales footprint?,Geographic market reach,Local,National,National,Local
Technology and Digitization,How many digital tools used in operations?,Technology adoption level,2,4,3,2
Culture and Heritage,How many ways are traditional values integrated?,Cultural preservation in operations,3,4,5,4
,How many cultural preservation initiatives?,Active cultural programs,Foods & language,Conservation,Wellness coverage,Authentic art
Geography and Participation,What is scope of production footprint?,Operational geographic scale,Single site,Distributed,National,Single site
,Are multiple tribes or communities involved?,Multi-tribal collaboration,No,Yes,Yes,No
"Risk, Relations, and Adaptation",How many persistent challenges recognized?,Problem awareness and complexity,5,6,4,6
,Are there significant government-related issues?,Regulatory challenges,Yes - BIA,Yes - DFO,Regulatory,Minimal
,Are there significant community-related issues?,Local relationship challenges,Some tensions,Broker conflicts,Good relations,Trust issues
,How many risk-mitigation strategies in place?,Proactive risk management,3,4,Scale economies,Limited
,How many adaptations address climate/market shifts?,Adaptive capacity,3,4,Market education,COVID pivots
