Metric Category,Question,E' Numu Diip (Land),River Select Foods (Fisheries),Many Nations (Insurance),RTZ Artists (Arts)
Membership and Constituency,How many members are currently in good standing?,17,5,250,46
,By what percentage has membership grown since founding?,Not reported,Not reported,Not reported,Not reported
,What percent of founding members are still active today?,Not reported,Not reported,Not reported,Not reported
Founding and Timeline,In what year was the cooperative formally established?,2017,2014,Not reported,2019
,How long from informal collaboration to formal co-op?,36,120,Not reported,Not reported
Governance and Leadership,How many directors currently serve on the board?,Not reported,Not reported,Not reported,Not reported
,Is continuity dependent on one or two key individuals?,5,5,7,5
,Is there a contingency plan for sudden key-person unavailability?,No,Moderate,Low,High
Employment and Jobs,How many full-time employees does the co-op employ (exclude contractors and advisors)?,0,No,Yes,No
,How many part-time employees does the co-op employ (exclude contractors and advisors)?,Not reported,Not reported,Not reported,Not reported
,"How many contractors, consultants, or advisors are engaged on a paid basis?",Not reported,2,20,2
,How many total jobs has the co-op created across its communities?,0,Not reported,30,0
Finance and Financial Discipline,Which bracket best describes current annual revenue?,1,5,5,2
,How often are budgets/financials formally reviewed each year?,12,4,12,Not reported
,Are available lines of credit sufficient for planned operations?,Not reported,Not reported,Not reported,Not reported
Partnerships and External Support,How many active external partner organizations does the co-op work with?,6,6,3,5
,How many partners are non-Indigenous organizations?,3,4,Not reported,3
,How many distinct grants or external funding sources have been secured?,4,2,Self-funded,2
"Programs, Services, and Training",How many new programs or services have been added since founding?,Not reported,Multiple services,Education fund + wellness,Not reported
,How many training or workforce development programs are offered?,Not reported,3,2,Not reported
,How many community engagement events or workshops has the co-op organized?,Not reported,30,Not reported,4
Innovation and Offering Development,"How many notable new practices, models, or platforms has the co-op developed?",4,4,3,3
,How many new products or services has the co-op launched since founding?,4,6,3,4
,Does the co-op offer products uniquely difficult to source elsewhere?,No,Not reported,Not reported,Not reported
Operations and Supply Chain,"Does the value chain rely on external processing, warehousing, or certification?",No,Yes,Not reported,Not reported
,"Does the co-op own, lease, or rent production equipment that would be difficult for a single member to afford alone?",No,Yes,No,Not reported
,Does the co-op employ non‑member workers to meet operational needs?,Yes,Yes,Not reported,Not reported
,Are the co-op’s inputs sourced mainly from the local area?,Not reported,Yes,Not reported,Not reported
,Are the co-op’s outputs purchased mainly within the local community?,Not reported,No,Not reported,Not reported
Markets and Sales Channels,"How many primary, recurring revenue streams does the co-op have?",2,2,Yes,3
,"Do most end customers buy directly from the co‑op, or mostly via distributors/retailers?",Yes,2,1,Yes
,"What is the main sales footprint (local, regional, state/province, national, international)?",1,5,Not reported,1
Technology and Digitization,How many distinct digital tools are used in operations and marketing?,2,4,2,1
Culture and Heritage,In how many concrete ways are traditional or cultural values integrated?,3,4,2,3
,How many ongoing initiatives support cultural preservation?,3,3,2,3
Geography and Participation,What is the scope of the production footprint?,Yes,Not reported,Not reported,Not reported
,Are multiple tribes or communities formally involved?,2,Yes,Yes,No
"Risk, Relations, and Adaptation",How many persistent challenges or obstacles are recognized?,5,5,4,5
,Are there significant government-related issues affecting business?,Yes,Yes,Not reported,Not reported
,Are there significant tribe-related issues affecting business?,Not reported,Not reported,Not reported,Not reported
,Are there significant community-related issues affecting business?,Not reported,Yes,Not reported,Not reported
,How many discrete risk‑mitigation strategies are in place?,3,2,Not reported,Not reported
,How many adaptations address climate or market shifts?,3,4,Yes,Yes
