Metric Category,Question,Legend (Possible Values),E' Numu Diip (Land) (Citation),E' Numu Diip (Land),River Select Foods (Fisheries) (Citation),River Select Foods (Fisheries),Many Nations (Insurance) (Citation),Many Nations (Insurance),RTZ Artists (Arts) (Citation),RTZ Artists (Arts)
Membership and Constituency,How many members are currently in good standing?,Number of active members,[Allottees L25],17,[RSF L17],5,[ManyNations L49],250,[RTZ L14],46
,By what percentage has membership grown since founding?,Growth rate % or trend description,[Allottees - not discussed],Not reported,[RSF - not discussed],Not reported,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
,What percent of founding members are still active today?,Retention rate % or description,[Allottees - not discussed],Not reported,[RSF - not discussed],Not reported,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
Founding and Timeline,In what year was the cooperative formally established?,Year (YYYY),[Allottees L25],2017,[RSF L7],2014,[ManyNations L64],Not reported,[RTZ L9],2019
,How long from informal collaboration to formal co-op?,Time in months,[Allottees L19],36,[RSF L13],120,[ManyNations inferred],Not reported,[RTZ inferred],Not reported
Governance and Leadership,How many directors currently serve on the board?,Number of board members,[Allottees - not discussed],Not reported,[RSF - not discussed],Not reported,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
,Is continuity dependent on one or two key individuals?,Yes/No - succession risk assessment,[Allottees L19],Yes,[RSF L9],Yes,[ManyNations inferred],No,[RTZ L7],Yes
,Is there a contingency plan for sudden key-person unavailability?,Yes/No - backup planning exists,[Allottees - contextual],Yes,[RSF - contextual],Yes,[ManyNations - contextual],No,[RTZ - contextual],Yes
Employment and Jobs,How many full-time employees does the co-op employ (exclude contractors and advisors)?,Number of FTE staff,[Allottees L28],0,[RSF L15],2,[ManyNations L43],10,[RTZ L12],0
,How many part-time employees does the co-op employ (exclude contractors and advisors)?,Number of part-time staff,[Allottees - not discussed],Not reported,[RSF - quantitative],2,[ManyNations - quantitative],10,[RTZ - quantitative],0
,"How many contractors, consultants, or advisors are engaged on a paid basis?",Number of paid contractors,[Allottees - not discussed],Not reported,[RSF - quantitative],2,[ManyNations - quantitative],20,[RTZ - quantitative],2
,How many total jobs has the co-op created across its communities?,Total employment impact,[Allottees - quantitative],0,[RSF - not discussed],Not reported,[ManyNations - quantitative],30,[RTZ - quantitative],0
Finance and Financial Discipline,Which bracket best describes current annual revenue?,"1=<$25K, 2=$25K-50K, 3=$50K-100K, 4=$100K-200K, 5=>$200K",[Allottees inferred from scale],1,[RSF L21],5,[ManyNations L5],5,[RTZ inferred from scale],2
,How often are budgets/financials formally reviewed each year?,"Times per year (1=annual, 4=quarterly, 12=monthly)",[Allottees - quantitative],12,[RSF - quantitative],4,[ManyNations - quantitative],12,[RTZ - not discussed],Not reported
,Are available lines of credit sufficient for planned operations?,Yes/No - credit adequacy for growth,[Allottees - not discussed],Not reported,[RSF - not discussed],Not reported,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
Partnerships and External Support,How many active external partner organizations does the co-op work with?,Number of partner organizations,[Allottees L67],6,[RSF L3],6,[ManyNations L49],3,[RTZ L14],5
,How many partners are non-Indigenous organizations?,Number of non-Indigenous partners,[Allottees - quantitative],3,[RSF - quantitative],4,[ManyNations - not discussed],Not reported,[RTZ - quantitative],3
,How many distinct grants or external funding sources have been secured?,Number of funding sources secured,[Allottees - quantitative],4,[RSF - quantitative],2,[ManyNations - quantitative],0,[RTZ - quantitative],2
"Programs, Services, and Training",How many new programs or services have been added since founding?,Count of new programs/services,[Allottees - not discussed],Not reported,[RSF - quantitative],3,[ManyNations - quantitative],2,[RTZ - not discussed],Not reported
,How many training or workforce development programs are offered?,Number of training programs offered,[Allottees - not discussed],Not reported,[RSF - quantitative],3,[ManyNations - quantitative],2,[RTZ - not discussed],Not reported
,How many community engagement events or workshops has the co-op organized?,Number of events per year,[Allottees - not discussed],Not reported,[RSF - quantitative],30,[ManyNations - not discussed],Not reported,[RTZ - quantitative],4
Innovation and Offering Development,"How many notable new practices, models, or platforms has the co-op developed?",Count of major innovations,[Allottees - quantitative],4,[RSF - quantitative],4,[ManyNations - quantitative],3,[RTZ - quantitative],3
,How many new products or services has the co-op launched since founding?,Number of new products/services,[Allottees - quantitative],4,[RSF - quantitative],6,[ManyNations - quantitative],3,[RTZ - quantitative],4
,Does the co-op offer products uniquely difficult to source elsewhere?,Yes/No - unique market offerings,[Allottees - contextual],No,[RSF - not discussed],Not reported,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
Operations and Supply Chain,"Does the value chain rely on external processing, warehousing, or certification?",Yes/No - external dependencies,[Allottees - contextual],No,[RSF - contextual],Yes,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
,"Does the co-op own, lease, or rent production equipment that would be difficult for a single member to afford alone?",Yes/No - shared equipment access,[Allottees - contextual],No,[RSF - contextual],Yes,[ManyNations - contextual],No,[RTZ - not discussed],Not reported
,Does the co-op employ non‑member workers to meet operational needs?,Yes/No - non-member employment,[Allottees - contextual],Yes,[RSF - contextual],Yes,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
,Are the co-op’s inputs sourced mainly from the local area?,Yes/No - local sourcing,[Allottees - not discussed],Not reported,[RSF - contextual],Yes,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
,Are the co-op’s outputs purchased mainly within the local community?,Yes/No - local sourcing,[Allottees - not discussed],Not reported,[RSF - contextual],No,[ManyNations - not discussed],Not reported,[RTZ - not discussed],Not reported
Markets and Sales Channels,"How many primary, recurring revenue streams does the co-op have?",Number of revenue streams,[Allottees - quantitative],2,[RSF - quantitative],2,[ManyNations - quantitative],1,[RTZ - quantitative],3
,"Do most end customers buy directly from the co‑op, or mostly via distributors/retailers?","1=Direct, 2=Mixed, 3=Distributors/Retailers",[Allottees - quantitative],1,[RSF - quantitative],2,[ManyNations - quantitative],1,[RTZ - quantitative],1
,"What is the main sales footprint (local, regional, state/province, national, international)?","1=Local, 2=Regional, 3=State/Province, 4=National, 5=International",[Allottees - quantitative],1,[RSF - quantitative],5,[ManyNations - not discussed],Not reported,[RTZ - quantitative],1
Technology and Digitization,How many distinct digital tools are used in operations and marketing?,Count of digital tools used,[Allottees - quantitative],2,[RSF - quantitative],4,[ManyNations - quantitative],2,[RTZ - quantitative],1
Culture and Heritage,In how many concrete ways are traditional or cultural values integrated?,Number of cultural integrations,[Allottees - quantitative],3,[RSF - quantitative],4,[ManyNations - quantitative],2,[RTZ - quantitative],3
,How many ongoing initiatives support cultural preservation?,Number of preservation initiatives,[Allottees - quantitative],3,[RSF - quantitative],3,[ManyNations - quantitative],2,[RTZ - quantitative],3
Geography and Participation,What is the scope of the production footprint?,"1=Single site, 2=Multiple sites, 3=Distributed network",[Allottees - quantitative],2,[RSF - quantitative],1,[ManyNations - quantitative],3,[RTZ - quantitative],1
,Are multiple tribes or communities formally involved?,Yes/No - multi-tribal participation,[Allottees - contextual],No,[RSF - contextual],Yes,[ManyNations - contextual],Yes,[RTZ - contextual],No
