Category,Metric_Code,Question,Data_Type,Encoding,Allowed_Values,Missing_Code,Extraction_Keywords,Notes
Membership and Constituency,Members_Current,How many members are currently in good standing?,int,raw count,0..∞,-1,members; in good standing,Point-in-time count.
Membership and Constituency,Membership_Growth_Percent,By what percentage has membership grown since founding?,int,percent integer,0..∞,-1,growth; increase; since founding,Round to nearest integer if range given.
Membership and Constituency,Member_Retention_Percent,What percent of founding members are still active today?,int,percent integer,0..100,-1,retention; remain; original members,Compute if counts are given.
Founding and Timeline,Year_Established,In what year was the cooperative formally established?,int,YYYY,1800..2100,-1,founded; established; year,Use formal incorporation year if both are given.
Founding and Timeline,Time_To_Formalization_Months,How long from informal collaboration to formal co-op?,int,months,0..∞,-1,informal; formal; years; months,Convert years to months if needed.
Governance and Leadership,Board_Size,How many directors currently serve on the board?,int,raw count,0..∞,-1,board; directors,"If range, use midpoint."
Governance and Leadership,Key_Person_Dependence,Is continuity dependent on one or two key individuals?,int,boolean,"0=No,1=Yes",-1,key person; dependency; single point,Assess from narrative.
Governance and Leadership,Key_Person_Contingency_Plan,Is there a contingency plan for sudden key-person unavailability?,int,boolean,"0=No,1=Yes",-1,contingency; succession; plan,Explicit plan or documented practice.
Employment and Jobs,Employees_FullTime,How many full-time employees does the co-op employ (exclude contractors and advisors)?,int,raw count,0..∞,-1,full-time; FTE,Exclude contractors.
Employment and Jobs,Employees_PartTime,How many part-time employees does the co-op employ (exclude contractors and advisors)?,int,raw count,0..∞,-1,part-time,Exclude contractors.
Employment and Jobs,Employees_Contract,"How many contractors, consultants, or advisors are engaged on a paid basis?",int,raw count,0..∞,-1,contract; consultant; advisor,Include paid ongoing contractors.
Employment and Jobs,Jobs_Created_Total,How many total jobs has the co-op created across its communities?,int,raw count,0..∞,-1,jobs created; employ,Include direct jobs; note indirect separately if stated.
Finance and Financial Discipline,Annual_Revenue_Bracket_Code,Which bracket best describes current annual revenue?,int,bracket code,"1:<$25k,2:$25–50k,3:$50–100k,4:$100–200k,5:>$200k",-1,revenue; sales; budget,Use gross revenue unless net is specified.
Finance and Financial Discipline,Financial_Review_Frequency_Per_Year,How often are budgets/financials formally reviewed each year?,int,frequency per year,"1,4,12,52 or stated",-1,review; monthly; quarterly; annual,"Map weekly=52, monthly=12, quarterly=4, annual=1."
Finance and Financial Discipline,Lines_Of_Credit_Sufficient,Are available lines of credit sufficient for planned operations?,int,boolean,"0=No,1=Yes",-1,line of credit; financing; sufficient,Use explicit statement if present.
Partnerships and External Support,External_Partners_Count,How many active external partner organizations does the co-op work with?,int,raw count,0..∞,-1,partner; collaborate; with,Name-based count if enumerated.
Partnerships and External Support,NonIndigenous_Partnerships_Count,How many partners are non-Indigenous organizations?,int,raw count,0..∞,-1,non-Indigenous; company; firm,Subset of partners.
Partnerships and External Support,Grants_or_Funding_Sources_Count,How many distinct grants or external funding sources have been secured?,int,raw count,0..∞,-1,grant; funding; loan,Count unique sources.
"Programs, Services, and Training",Programs_or_Services_Added_Count,How many new programs or services have been added since founding?,int,raw count,0..∞,-1,program; service; launched,Exclude pilots not launched.
"Programs, Services, and Training",Training_Programs_Count,How many training or workforce development programs are offered?,int,raw count,0..∞,-1,training; workshop; scholarship,Count recurring programs.
