Category,Metric_Code,Question,Allottees (E’ Numu Diip),"DM, RSF (Fishery Co-op)",Many Nations (Insurance Co-op),RTZ (Artists Co-op),Allottees (E’ Numu Diip) — Note,"DM, RSF (Fishery Co-op) — Note",Many Nations (Insurance Co-op) — Note,RTZ (Artists Co-op) — Note
Membership and Constituency,Members_Current,How many members are currently in good standing?,17,5,250,46,[allottees.txt L37],Supported by transcript context; no single-line numeric citation identified.,[manynations.txt L49],[Interview with RTZ Leadership.txt L14-L14]
Membership and Constituency,Membership_Growth_Percent,By what percentage has membership grown since founding?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Membership and Constituency,Member_Retention_Percent,What percent of founding members are still active today?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Founding and Timeline,Year_Established,In what year was the cooperative formally established?,2017,2014,-1,-1,[allottees.txt L25],"[Interview with DM, RSF.txt L13-L13]",Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Founding and Timeline,Time_To_Formalization_Months,How long from informal collaboration to formal co-op?,36,120,-1,-1,[allottees.txt L25],Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Governance and Leadership,Board_Size,How many directors currently serve on the board?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Governance and Leadership,Key_Person_Dependence,Is continuity dependent on one or two key individuals?,1,-1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Governance and Leadership,Key_Person_Contingency_Plan,Is there a contingency plan for sudden key-person unavailability?,0,-1,-1,-1,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Employment and Jobs,Employees_FullTime,How many full-time employees does the co-op employ (exclude contractors and advisors)?,0,2,10,0,[allottees.txt L31],"[Interview with DM, RSF.txt L15]",[manynations.txt L43],Supported by transcript context; no single-line numeric citation identified.
Employment and Jobs,Employees_PartTime,How many part-time employees does the co-op employ (exclude contractors and advisors)?,-1,-1,-1,-1,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).,Not stated explicitly in transcript (kept -1).
Employment and Jobs,Employees_Contract,"How many contractors, consultants, or advisors are engaged on a paid basis?",-1,2,20,2,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,[manynations.txt L43],Supported by transcript context; no single-line numeric citation identified.
Employment and Jobs,Jobs_Created_Total,How many total jobs has the co-op created across its communities?,0,-1,30,-1,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).
Finance and Financial Discipline,Annual_Revenue_Bracket_Code,Which bracket best describes current annual revenue?,1,5,5,2,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,[Interview with RTZ Leadership.txt L59]
Finance and Financial Discipline,Financial_Review_Frequency_Per_Year,How often are budgets/financials formally reviewed each year?,12,4,12,-1,[allottees.txt L307],Supported by transcript context; no single-line numeric citation identified.,Supported by transcript context; no single-line numeric citation identified.,Not stated explicitly in transcript (kept -1).
