Coop,Metric_Code,Value,Note
Allottees (E’ Numu Diip),Members_Current,17,[allottees.txt L37]
Allottees (E’ Numu Diip),Membership_Growth_Percent,-1,No clear baseline founders count.
Allottees (E’ Numu Diip),Member_Retention_Percent,-1,Landowners != founding members retained.
Allottees (E’ Numu Diip),Year_Established,2017,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Time_To_Formalization_Months,36,2014 assoc → 2017 co-op (~36 months). [allottees.txt L25-L25]
Allottees (E’ Numu Diip),Board_Size,-1,Not stated explicitly in transcript (kept -1).
Allottees (E’ Numu Diip),Key_Person_Dependence,1,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Key_Person_Contingency_Plan,0,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Employees_FullTime,0,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Employees_PartTime,-1,Not stated explicitly in transcript (kept -1).
Allottees (E’ Numu Diip),Employees_Contract,-1,Consultants used; count not specified. [allottees.txt L31]
Allottees (E’ Numu Diip),Jobs_Created_Total,0,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Annual_Revenue_Bracket_Code,1,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Financial_Review_Frequency_Per_Year,12,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Lines_Of_Credit_Sufficient,-1,Avoids loans/mortgaging; sufficiency unstated. [allottees.txt L115]
Allottees (E’ Numu Diip),External_Partners_Count,6,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),NonIndigenous_Partnerships_Count,3,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Grants_or_Funding_Sources_Count,4,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Programs_or_Services_Added_Count,-1,Not stated explicitly in transcript (kept -1).
Allottees (E’ Numu Diip),Training_Programs_Count,-1,Not stated explicitly in transcript (kept -1).
Allottees (E’ Numu Diip),Community_Engagement_Events_Count,-1,Not stated explicitly in transcript (kept -1).
Allottees (E’ Numu Diip),Innovations_Count,4,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),New_Products_or_Services_Count,4,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Unique_Products_Offered,0,No explicit unique/hard-to-source claim.
Allottees (E’ Numu Diip),External_Processing_In_Chain,0,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Capital_Equipment_Own_Lease_Rent,0,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),NonMember_Workers_Employed,1,Non-member consultants engaged (paid).
Allottees (E’ Numu Diip),Local_Sourcing_Primary,1,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Local_Purchasing_Primary,1,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Revenue_Streams_Count,2,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Primary_Sales_Channel,1,Direct via co-op/website under development. [allottees.txt L121]
Allottees (E’ Numu Diip),Sales_Distribution_Area_Code,1,Local focus.
Allottees (E’ Numu Diip),Digital_Tools_Count,2,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Cultural_Integrations_Count,3,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Cultural_Preservation_Modes_Count,3,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Production_Footprint_Scope_Code,1,Local footprint.
Allottees (E’ Numu Diip),Multi_Tribal_Involvement,1,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Challenges_Identified_Count,5,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Issues_With_Government,1,Supported by transcript context; no single-line numeric citation identified.
Allottees (E’ Numu Diip),Issues_With_Tribes,0,Supported by transcript context; no single-line numeric citation identified.
