Tag_Category,Line_Number,Matched_Text,Context
CATEGORY_COVID,1375,COVID,community together? And I think it… was it during COVID?
CATEGORY_COVID,1795,COVID,"Jodi Burshia: climate change, along with, like, COVID, you know, as, like, those are some major challen"
CATEGORY_COVID,1876,Covid,Ricardo Ariza: Covid hit.
CATEGORY_COVID,1945,COVID," all those different impacts, you know, including COVID-19,"
CATEGORY_COVID,1987,pandemic,"ry Webster: how did we operate, basically, in the pandemic? And again, to our benefit, we were able to do th"
CATEGORY_Culture,700,traditional,"Ricardo Ariza: It has evolved into… Just a traditional farm where, Indigenous,"
CATEGORY_Culture,799,traditional,"… the vegetables, the produce that they grow, the traditional corn that we use, and they… they make a meal comp"
CATEGORY_Culture,883,traditional,"rocess that corn, how to harvest that corn in the traditional way."
CATEGORY_Culture,892,traditional,"Ricardo Ariza: The importance of doing it in the traditional way has great value to the community, and when we"
CATEGORY_Culture,1150,traditional,"cardo Ariza: We have a pollinator garden with all traditional plants, our traditional flowers in this area."
CATEGORY_Culture,1150,traditional,"ollinator garden with all traditional plants, our traditional flowers in this area."
CATEGORY_Culture,1162,traditional,": And the rest of the area, there's 3 sections of traditional corn that we grow."
CATEGORY_Culture,1186,traditional,"cardo Ariza: So, and one of those is a pumpkin, a traditional pumpkin that was thought to have been, like, exti"
CATEGORY_Culture,1411,traditional,"Barry Webster: And so, we… we did the traditional meal, we fed the community, which we had a great "
CATEGORY_Culture,2248,traditional,"s sustainable living, this organic style growing, traditional food sustainability, take that idea, that mindset"
CATEGORY_Culture,2326,traditional,", and they're growing corn, squash, and all their traditional foods that they redistribute to their elders in t"
CATEGORY_Culture,526,cultural,"ever, in this community, they have a very strong, cultural, as well as values and beliefs, and so their resu"
CATEGORY_Culture,646,cultural,'t have been able to come by that… those types of cultural teachings and those stories if this thought wasn'
CATEGORY_Culture,1528,cultural,"eaking and flourishing of that, and that was very cultural and community-based, and to Barry's point, it was"
CATEGORY_Culture,28,Indigenous,"Jodi Burshia: And what these, Indigenous students are getting a chance to do is just why I"
CATEGORY_Culture,55,Indigenous,"really enjoy it. Food sovereignty, food security, Indigenous food sovereignty, Indigenous food security for ou"
CATEGORY_Culture,55,Indigenous,"gnty, food security, Indigenous food sovereignty, Indigenous food security for our people and our children, mo"
CATEGORY_Culture,700,Indigenous," has evolved into… Just a traditional farm where, Indigenous,"
CATEGORY_Culture,739,Indigenous," out to the University of Notre Dame and speak to Indigenous schools out there. And so, again, those…"
CATEGORY_Culture,1135,Indigenous," Nebraska Game and Parks was able to donate 3,000 Indigenous plants, elderberries, choke cherries, service ber"
CATEGORY_Culture,598,elder,"a prayer said by a certain clan member, a certain elder."
CATEGORY_Culture,658,elder,"Ricardo Ariza: That part of having to go to an elder, and that person that you're going to say that pr"
CATEGORY_Culture,808,ceremony,ple to take care of that for us. Really beautiful ceremony that took place right there at sunrise.
CATEGORY_Employment,469,employee," is Ricardo, and I want to share my role as a JAG employee. I'm the career specialist, and when I came to th"
CATEGORY_Employment,586,staff,"grams in the school, the outside classroom, a few staff members there that all had this… this vision, thi"
CATEGORY_Employment,592,staff,Ricardo Ariza: The staff at that time
CATEGORY_Employment,643,staff,"Ariza: And then at that time, they would take the staff, and it would connect… they would put that in the"
CATEGORY_Employment,1144,staff,"a: They, they paid for everything. My maintenance staff actually installed that."
