Indigenous Cooperative Hybrid Matrix – gtp-5-high v1.1.0

Metric Category,Data Point,E' Numu Diip (Land),River Select Foods (Fisheries),Many Nations (Insurance),RTZ Artists (Arts),Evidence / Notes
Membership and Constituency,How many members are currently in good standing?,17,5,250,46,"E' Numu: 17 (allottees.txt L37); RSF: 5 (Interview with DM, RSF.txt L17); Many Nations: ~250 (manynations.txt L49-L50); RTZ: ~40 (Interview with RTZ Leadership.txt L14)"
Membership and Constituency,By what percentage has membership grown since founding?,Not reported,Not reported,Not reported,Not reported,
Membership and Constituency,What percent of founding members are still active today?,Not reported,Not reported,Not reported,Not reported,
Founding and Timeline,In what year was the cooperative formally established?,2017,2014,Not reported,Not reported,"E' Numu: 2017 (allottees.txt L25); RSF: 2014 (Interview with DM, RSF.txt L13); Many Nations: 2009 co-op (manynations.txt L94); RTZ: 2019 (~3 years; Interview with RTZ Leadership.txt L9-L10)"
Founding and Timeline,How long from informal collaboration to formal co-op?,36,120,Not reported,Not reported,
Governance and Leadership,How many directors currently serve on the board?,Not reported,Not reported,Not reported,Not reported,
Governance and Leadership,Is continuity dependent on one or two key individuals?,Yes,Not reported,Not reported,Not reported,
Governance and Leadership,Is there a contingency plan for sudden key-person unavailability?,No,Not reported,Not reported,Not reported,
Employment and Jobs,How many full-time employees does the co-op employ (exclude contractors and advisors)?,No,2,10,No,"E' Numu: 0 (allottees.txt L31); RSF: 2 (Interview with DM, RSF.txt L15); Many Nations: 10 (manynations.txt L42-43); RTZ: 0 (contract; Interview with RTZ Leadership.txt L12)"
Employment and Jobs,How many part-time employees does the co-op employ (exclude contractors and advisors)?,Not reported,Not reported,Not reported,Not reported,
Employment and Jobs,"How many contractors, consultants, or advisors are engaged on a paid basis?",Not reported,2,20,2,
Employment and Jobs,How many total jobs has the co-op created across its communities?,No,Not reported,30,Not reported,
Finance and Financial Discipline,Which bracket best describes current annual revenue?,Yes,5,5,2,"E' Numu: $25K–$50K (allottees.txt L263-L271); RSF: $250K–$1M (Interview with DM, RSF.txt L66); Many Nations: >$200K (manynations.txt L263); RTZ: $25K–$50K (Interview with RTZ Leadership.txt L59)"
Finance and Financial Discipline,How often are budgets/financials formally reviewed each year?,12,4,12,Not reported,
Finance and Financial Discipline,Are available lines of credit sufficient for planned operations?,Not reported,Not reported,Not reported,Not reported,
Partnerships and External Support,How many active external partner organizations does the co-op work with?,6,6,3,5,
Partnerships and External Support,How many partners are non-Indigenous organizations?,3,4,Not reported,3,
Partnerships and External Support,How many distinct grants or external funding sources have been secured?,4,2,Yes,2,
"Programs, Services, and Training",How many new programs or services have been added since founding?,Not reported,Not reported,Yes,Not reported,
"Programs, Services, and Training",How many training or workforce development programs are offered?,Not reported,Not reported,Not reported,Not reported,
"Programs, Services, and Training",How many community engagement events or workshops has the co-op organized?,Not reported,30,Not reported,4,
Innovation and Offering Development,"How many notable new practices, models, or platforms has the co-op developed?",4,4,3,3,
Innovation and Offering Development,How many new products or services has the co-op launched since founding?,4,6,3,4,
Innovation and Offering Development,Does the co-op offer products uniquely difficult to source elsewhere?,No,Not reported,Not reported,Not reported,
Operations and Supply Chain,"Does the value chain rely on external processing, warehousing, or certification?",No,Yes,Not reported,Not reported,
Operations and Supply Chain,"Does the co-op own, lease, or rent production equipment that would be difficult for a single member to afford alone?",No,Yes,No,Not reported,
Operations and Supply Chain,Does the co-op employ non‑member workers to meet operational needs?,Yes,Yes,Not reported,Not reported,
Operations and Supply Chain,Are the co-op’s inputs sourced mainly from the local area?,Not reported,Yes,Not reported,Not reported,
Operations and Supply Chain,Are the co-op’s outputs purchased mainly within the local community?,Not reported,No,Not reported,Not reported,
Markets and Sales Channels,"How many primary, recurring revenue streams does the co-op have?",2,2,Yes,3,
Markets and Sales Channels,"Do most end customers buy directly from the co‑op, or mostly via distributors/retailers?",Yes,2,Not reported,Yes,
Markets and Sales Channels,"What is the main sales footprint (local, regional, state/province, national, international)?",Yes,5,Not reported,Yes,
Technology and Digitization,How many distinct digital tools are used in operations and marketing?,2,4,2,3,
Culture and Heritage,In how many concrete ways are traditional or cultural values integrated?,3,4,2,3,
Culture and Heritage,How many ongoing initiatives support cultural preservation?,3,3,2,3,
Geography and Participation,What is the scope of the production footprint?,Yes,Not reported,Not reported,Not reported,
Geography and Participation,Are multiple tribes or communities formally involved?,Not reported,Yes,Yes,No,
"Risk, Relations, and Adaptation",How many persistent challenges or obstacles are recognized?,5,5,4,5,
"Risk, Relations, and Adaptation",Are there significant government-related issues affecting business?,Yes,Yes,Not reported,Not reported,
"Risk, Relations, and Adaptation",Are there significant tribe-related issues affecting business?,Not reported,Not reported,Not reported,Not reported,
"Risk, Relations, and Adaptation",Are there significant community-related issues affecting business?,Not reported,Yes,Not reported,Not reported,
"Risk, Relations, and Adaptation",How many discrete risk‑mitigation strategies are in place?,3,2,Not reported,Not reported,
"Risk, Relations, and Adaptation",How many adaptations address climate or market shifts?,3,4,Yes,Yes,
