Tag_Category,Line_Number,Matched_Text,Context
CATEGORY_COVID,982,COVID,"urshia: worked with this global pandemic of, say, COVID-19. And so, do you think that that… that global p"
CATEGORY_COVID,775,pandemic,"se: Yeah, and when we, when we had… so during the pandemic, we had,"
CATEGORY_COVID,982,pandemic,"Jodi Burshia: worked with this global pandemic of, say, COVID-19. And so, do you think that that"
CATEGORY_COVID,982,pandemic,"D-19. And so, do you think that that… that global pandemic"
CATEGORY_COVID,1006,pandemic,", I think a lot of what we experienced during the pandemic with the shortages and the shutdowns and the dist"
CATEGORY_COVID,1015,pandemic,and take care of each other. And I think that the pandemic was a big reminder to us that that's what we're s
CATEGORY_Culture,451,traditional,"Lea Zeise: Really pulls from our traditional values of, calling on wise people to, advise us a"
CATEGORY_Culture,226,cultural,"shia: And so, some Native communities apply their cultural life ways and practices to inform the design of t"
CATEGORY_Culture,283,cultural,"eise: the young people not having access to those cultural teachings, and not… and not being sure how they w"
CATEGORY_Culture,487,cultural,"wed some of the principles that aligned with our, cultural ways, but we think we followed more of our cultur"
CATEGORY_Culture,487,cultural,"ltural ways, but we think we followed more of our cultural protocols first, and"
CATEGORY_Culture,823,cultural,"anted to go to Ecuador, and they invited us to do cultural exchange with them."
CATEGORY_Culture,829,cultural,", and we went from village to village, and we did cultural exchange for, like, two and a half weeks. So we h"
CATEGORY_Culture,157,indigenous,"here there's 52 families from all these different indigenous communities, villages, and they bring all of thei"
CATEGORY_Culture,517,Indigenous,"Lea Zeise: I would like to see an Indigenous cooperative, you know, principles developed at so"
CATEGORY_Culture,820,Indigenous," was in… I was invited to, like, an international Indigenous corn"
CATEGORY_Culture,832,Indigenous,Lea Zeise: Indigenous organic verification program that they developed.
CATEGORY_Culture,835,indigenous,"ey took the organic standards, adapted it into an indigenous model, and it's like a mentorship program, a 3-ye"
CATEGORY_Culture,844,Indigenous," movement and story for, like, this resurgence of Indigenous foods and Indigenous life ways."
CATEGORY_Culture,844,Indigenous,"or, like, this resurgence of Indigenous foods and Indigenous life ways."
CATEGORY_Culture,910,Indigenous,"d we're really lucky around here, we have lots of Indigenous chefs, and so we would, yeah, it would be so awes"
CATEGORY_Culture,1018,Indigenous,"s. That's our core responsibility as Ungwehue, as Indigenous people. And so I think that is a… that was a good"
CATEGORY_Culture,349,Elder,"Lea Zeise: Last year, we did the Tribal Elder Food Box program, so we set aside about 1,700 pou"
CATEGORY_Culture,715,Elder,", the first market that we entered was the Tribal Elder Food Box Program."
CATEGORY_Culture,130,ceremony,"d wild rice, and then that night, they had a moon ceremony, and they were saying how there was a prophecy th"
CATEGORY_Culture,508,ceremony," in, we'll have our, condolence edge of the woods ceremony to bring people in. So we… we try to follow our t"
CATEGORY_Employment,655,staff,"hey want to. And I think other co-ops have, like, staff, and they have"
CATEGORY_Employment,661,staff,"mount, and I think that makes sense when you have staff, you have to have, you know, income coming in to "
CATEGORY_Employment,796,staff,"Jodi Burshia: And your boarding staff, and all of that?"
CATEGORY_Finance,802,budget,"e: And so, usually, we have a really small travel budget that we can send people to different places. We d"
CATEGORY_Finance,85,grant,"so, my mom and I, that fall, wrote a really small grant from the Sustainable Agriculture Research and Edu"
CATEGORY_Finance,325,grant," Zeise: And, they went through a process to get a grant and kind of do a pilot study, and I learned a lot"
CATEGORY_Finance,580,grant," and design background, and website building, and grant writing, and all of these gifts that they bring i"
CATEGORY_Finance,778,grant,Lea Zeise: A small grant that allowed us to donate
CATEGORY_Finance,1144,grant,Lea Zeise: So we got a grant to do agrivoltaics. So we're going to be putting 
CATEGORY_Finance,1051,credit,'t… there's nobody in the group who wants to take credit for anything… everything. There's nobody in the g
CATEGORY_Geography,22,Reservation,Lea Zeise: We're located on the Oneida Nation Reservation in Wisconsin.
CATEGORY_Geography,37,community,Lea Zeise: Corn supply for our community and for the families that
CATEGORY_Geography,64,community, we were experiencing a huge corn shortage in our community.
CATEGORY_Geography,88,community,"m, and we got a little bit of money, and we had a community event, like a workshop. We sent out postcards to "
CATEGORY_Geography,94,community,'re really meant to be growing this together as a community.
CATEGORY_Geography,109,community,"iful. You were seeing those various needs in your community of people needing to eat, and you're making it ha"
CATEGORY_Geography,151,community,"ed you with your original vision that brought the community, or how did… how did you envision that coming tog"
CATEGORY_Geography,151,community,ow did you envision that coming together with the community?
CATEGORY_Geography,169,community,nd we'll be able to share it with the rest of the community.
CATEGORY_Geography,175,community,"lling these things together, how did you identify community members to… to help you with this… with this work"
CATEGORY_Geography,196,community,"that's really important. Is that how you keep the community engaged? Because you had this startup, and so 10 "
CATEGORY_Geography,196,community,"artup, and so 10 years later, how do you keep the community engaged?"
CATEGORY_Geography,226,community,he design of their cooperative. Is this what your community did?
CATEGORY_Geography,259,community,: Were there opportunities or challenges that the community identified as you were looking at these things wh
CATEGORY_Geography,262,community,"h other was resolving, concern that we had in our community of not having a lot of opportunities to, like, re"
CATEGORY_Geography,262,community,eally get to know each other and keep that strong community connection.
CATEGORY_Geography,289,community,"ing those connections. That's wonderful that your community was able to do that, especially when people were "
CATEGORY_Geography,319,community,"Jodi Burshia: So, how did your community learn about what a cooperative is? Like, you know"
CATEGORY_Geography,433,community,ion asked us to grow 5 more acres of corn for the community.
CATEGORY_Geography,436,community,gh the Oneida Cannery to distribute it out to the community.
CATEGORY_Geography,484,community,Jodi Burshia: To meet the needs of your community?
CATEGORY_Geography,520,community,"ionships, and we have strong, you know, bonds and community building through our co-ops. It's not really abou"
CATEGORY_Geography,523,community,"sense. I mean, it's just, you know, you have your community that's, where people have different gifts and dif"
CATEGORY_Geography,526,community,"Jodi Burshia: So, with that, were there community resources, such as people, finances, partners, th"
CATEGORY_Geography,535,community,"Lea Zeise: like, space in the community, like, they're very respected in the community, a"
CATEGORY_Geography,535,community,"he community, like, they're very respected in the community, and so when they ask for something on our co-op'"
CATEGORY_Geography,544,community,"nt, and so we got, you know, some grants from the community and from outside the community to buy some pieces"
CATEGORY_Geography,544,community,me grants from the community and from outside the community to buy some pieces of equipment.
CATEGORY_Geography,556,community,"Lea Zeise: somebody in the community let us fill up our tank with their well. And so, "
CATEGORY_Geography,595,community,"i Burshia: And so, please share how you keep your community or Native leaders engaged and informed, because, "
CATEGORY_Geography,619,community,"ard around here. So we distribute that out to the community, so almost everybody in the community has receive"
CATEGORY_Geography,619,community," out to the community, so almost everybody in the community has received corn from us for that, and that has "
CATEGORY_Geography,622,community,ould do that would be important for people in our community.
CATEGORY_Geography,784,community,"ed by Oneida Cannery, and then it went out to the community. So that's another, you know, opportunity is to j"
CATEGORY_Geography,793,community,"ing education and training to its members, to the community?"
CATEGORY_Geography,835,community,"n at the end, you kind of graduate, and then your community comes out and verifies you."
CATEGORY_Geography,838,community,"write you some certificate of certification, your community signs your verification."
CATEGORY_Geography,919,community,"Jodi Burshia: So, thinking about the community, how does… how do you think the community interac"
CATEGORY_Geography,919,community,"out the community, how does… how do you think the community interacts with… with the co-op? Because we've bee"
CATEGORY_Geography,919,community,"en talking about how the co-op interacts with the community, but…"
CATEGORY_Geography,922,community,Jodi Burshia: So how do you think the community sees the co-op?
