Tag_Category,Line_Number,Matched_Text,Context
CATEGORY_COVID,718,COVID," homeownership more affordable, because then with COVID hitting, in 2020 when COVID hit, whatâ€¦"
CATEGORY_COVID,718,COVID,"le, because then with COVID hitting, in 2020 when COVID hit, whatâ€¦"
CATEGORY_COVID,916,COVID,"know, a little bit about, how much you did during COVID. Do you feel like that's changed where things are"
CATEGORY_COVID,919,COVID,"Sheila Herrera: For COVID, we actually had a very good year for COVID. You "
CATEGORY_COVID,919,COVID,": For COVID, we actually had a very good year for COVID. You would think that we would have shut down, bu"
CATEGORY_COVID,946,COVID,"Sheila Herrera: So, after COVID, I think it just got easier. I think probably in "
CATEGORY_COVID,970,COVID,"them build up. So all that happened, like, during COVID. After COVID,"
CATEGORY_COVID,970,COVID,". So all that happened, like, during COVID. After COVID,"
CATEGORY_COVID,997,COVID,"la Herrera: So, yes, it's been great for us after COVID, and then now we're still gonna have this, but wh"
CATEGORY_COVID,1000,COVID,"Sheila Herrera: after COVID, because everything went off, like, the tariffs, "
CATEGORY_Culture,790,Indigenous,"stern information. There's, like, non-Western and Indigenous information as well. Like, that, â€¦"
CATEGORY_Culture,808,Indigenous,"mbine it with what they already know, like, their Indigenous knowledge."
CATEGORY_Culture,817,Indigenous," I think with the budgeting, when you were saying Indigenous, you know, everything is based, like, how importa"
CATEGORY_Employment,226,staff," how are you going to do that? So, with the short staff that we had, Miranda and I were handling both. We"
CATEGORY_Employment,241,staff,"Sheila Herrera: Accounting, and then you have the staff, and then in thoseâ€¦ and part of the staff is"
CATEGORY_Employment,241,staff,"e the staff, and then in thoseâ€¦ and part of the staff is"
CATEGORY_Employment,565,staff,"t every day, so even as a new, you know, as a new staff member coming in, it was nice, because we sent on"
CATEGORY_Employment,565,staff,"t was nice, because we sent one of ourâ€¦ our new staff"
CATEGORY_Employment,625,staff,"ion, and so the governors and lieutenants and the staff see that."
CATEGORY_Employment,943,staff,"la Herrera: our license. So, making sure that our staff, making sure that my staff is licensed, so they c"
CATEGORY_Employment,943,staff,", making sure that our staff, making sure that my staff is licensed, so they can go out there and negotia"
CATEGORY_Employment,1009,staff,Sheila Herrera: And still maintain our staff.
CATEGORY_Employment,1156,staff,"rera: Yeah, and if you'd ever like to talk to the staff, let me know. They're very passionate, soâ€¦"
CATEGORY_Finance,454,budget,hing that they want. And it just shows you how to budget.
CATEGORY_Finance,550,budget,", what have I seen? We've seenâ€¦ we've seen them budget their money more. We've seen them become successf"
CATEGORY_Finance,817,budget,"ow, everything is based, like, how important your budget is, because you have a lot ofâ€¦ with the feasts "
CATEGORY_Finance,43,financial," so successful is because we've really focused on financial empowerment, homeownership."
CATEGORY_Finance,46,financial,"Sheila Herrera: financial literacy, spending a lot of time with the youth, "
CATEGORY_Finance,79,financial,"thing. So through that, we realized how important financial literacy was. So they kind of go hand in hand. So"
CATEGORY_Finance,82,financial,"ers to be successful, we needed to start off with financial literacy."
CATEGORY_Finance,88,financial,"rera: that's when I started seeing a need for the financial literacy, and then I branchedâ€¦ I collaborated w"
CATEGORY_Finance,91,financial,"errera: And they came in, and they did an 11-week financial literacy course. And from there, itâ€¦ we spent, "
CATEGORY_Finance,103,financial,Sheila Herrera: And it started with the financial literacy. So we created this program. So after we
CATEGORY_Finance,112,financial,"alf out of their schedule to come in and get this financial literacy. And then they graduated, they went thro"
CATEGORY_Finance,130,financial,", that went through the whole 90-day challenge of financial literacy. And they learned a lot, and then from t"
CATEGORY_Finance,139,financial,"t in saying that that's due to the success of the financial literacy program, then that's why our home buyers"
CATEGORY_Finance,178,financial,nd then we're gonnaâ€¦ you're gonna take over the financial literacy.
CATEGORY_Finance,439,financial,ey want to become a realtor? Do they want to be a financial education coach? Do they want to go into banking?
CATEGORY_Finance,496,financial,"t subject, but we want to be able to open up that financial literacy aspect in all the different areas of com"
CATEGORY_Finance,520,financial,Sheila Herrera: I've seen the need for financial education.
CATEGORY_Finance,550,financial,Sheila Herrera: end up taking a financial education class and sit down with one of the home
CATEGORY_Finance,568,financial,"Sheila Herrera: members to a training for financial literacy, and then even just having him come back"
CATEGORY_Finance,571,Financial,Sheila Herrera: Financial education and financial coaching.
CATEGORY_Finance,571,financial,Sheila Herrera: Financial education and financial coaching.
CATEGORY_Finance,574,financial,"Sheila Herrera: and financial literacy, he goes, they're all different. And I s"
CATEGORY_Finance,613,financial,"s nice. And they, they see that we're holding the financial literacy classes here."
CATEGORY_Finance,637,financial,"and do, like, shops, like, oh, I guess maybe some financial literacy classes there, you know, we've done that"
CATEGORY_Finance,667,financial,"ther home closed by Tiwa Lending Services, or the financial education classes, orâ€¦ you know, I think we'reâ"
CATEGORY_Finance,727,financial,Sheila Herrera: Our financial education classes were on Zoom.
CATEGORY_Finance,742,financial,"nered up, and she works with the state, she has a financial literacy class through there. So then weâ€¦ soâ€¦"
CATEGORY_Finance,979,financial," maybe won't be a certified community development financial institution, which is known as a CDFI."
CATEGORY_Finance,853,grant,"heila Herrera: let go, because there's no federal grant money, or you don't have no retirement, then how "
CATEGORY_Finance,316,funding," a lot of the programs that are freezing, and the funding, we have to still be careful, because we still wa"
CATEGORY_Finance,355,funding,"f, you know, so being in compliance, watching our funding, and then also collaborating with USDA Rule, mayb"
CATEGORY_Finance,19,loan,"enting them, helping them re-implement their home loan program."
CATEGORY_Finance,22,loan,Sheila Herrera: The home loan program was to help middle to high-income borrowe
CATEGORY_Finance,37,loan," with, I think, a million and a half, and now our loan portfolio has grown to almost $12 million. Actual"
CATEGORY_Finance,49,loan,osed to off the reservation. You could close on a loan in 30 days.
CATEGORY_Finance,136,loan,"Sheila Herrera: with our loan portfolio being up to close, maybe, $12 million, "
CATEGORY_Finance,157,loan,"oans. So we started partnering up with, like, the loan fund, and let them underwrite the loans."
CATEGORY_Finance,172,loan,"that. And then, if they wanted to maybe buy a car loan, we kind of put all those little products under t"
CATEGORY_Finance,178,loan,"u're gonnaâ€¦ you're gonna take over the consumer loan program, and then we're gonnaâ€¦ you're gonna tak"
CATEGORY_Finance,202,loan,"state laws, so we had to get licensed to become a loan officer. But nobody in the honest letter really k"
CATEGORY_Finance,232,loan,ore with the collections and the servicing of the loan. So I think that was one smart move that we did.
CATEGORY_Finance,442,loan,"use really, nobody knows about how to go become a loan officer."
CATEGORY_Finance,460,loan,Sheila Herrera: Purchase an auto loan.
CATEGORY_Finance,547,loan,"ra: And if you continue to borrow after the third loan, or if youâ€¦ or if you want to"
CATEGORY_Finance,682,loan,"d of us saying, yes, we helped, we closed another loan, we need to say how many families did we help, th"
CATEGORY_Finance,1030,loan,"Sheila Herrera: loan portfolio, and grow it to, you know, $11.5 millio"
CATEGORY_Finance,1120,loan,Sheila Herrera: Yeah. And how do I become a loan officer? If this is what I want to pursue in my c
CATEGORY_Finance,25,credit,"he same, and you qualify based on your income and credit."
CATEGORY_Finance,94,credit,Sheila Herrera: Going over credit reports.
CATEGORY_Finance,97,credit,"Sheila Herrera: What else? We did credit reports, like, talking about foreclosure, what a "
CATEGORY_Finance,97,credit,"osure, what a FICO score was, how to look at your credit, your needs, buying, you know, buying, is it a ne"
CATEGORY_Finance,133,credit,"were due in a timely manner, learning about their credit. So that kind of startedâ€¦ that went hand in han"
CATEGORY_Finance,169,credit," assistance, we have debt consolidation, we have, credit management, helping them to review their credit."
CATEGORY_Finance,169,credit,", credit management, helping them to review their credit."
CATEGORY_Finance,406,credit,"vironment, and teach them about the importance of credit. So we had special speakers coming in throughout "
CATEGORY_Finance,415,credit,"w, like, counting money and talking to them about credit, that's where it'sâ€¦"
CATEGORY_Finance,421,credit,"chools come in, and we'll do a session on what is credit."
CATEGORY_Finance,490,credit,"strict, the banks, and you have to have a certain credit score. If youâ€¦ if you don't have a 750 credit s"
CATEGORY_Finance,490,credit,"n credit score. If youâ€¦ if you don't have a 750 credit score, then you're not going to get a better inte"
CATEGORY_Finance,493,credit,"Sheila Herrera: How important the credit score is, but at the same time, If you, â€¦ you k"
CATEGORY_Finance,538,credit,"Sheila Herrera: They're not intimidated, their credit has improved. They come back."
CATEGORY_Finance,679,credit,"ey completed the 11 weeks classes, they got their credit, they worked on their credit, they became that ho"
