Tag_Category,Line_Number,Matched_Text,Context
CATEGORY_COVID,22,COVID,"f, it's… it does… it definitely doesn't feel like COVID from before, but it feels like I sound like a… li"
CATEGORY_COVID,158,COVID,"change, especially, like, we were all impacted by COVID-19 and these global pandemics. Like, how did thin"
CATEGORY_COVID,161,COVID,"e things I've brought in since, well, I guess for COVID, for example, is more food production. When COVID"
CATEGORY_COVID,161,COVID,"COVID, for example, is more food production. When COVID happened, I was an equipment operator, and we wer"
CATEGORY_COVID,171,COVID,"Like, COVID and all of that."
CATEGORY_COVID,175,COVID,"iving them the resources, we've had that explode. COVID was a lesson for us, and we definitely want to gr"
CATEGORY_COVID,175,COVID,"e supporting the local community. It was what the COVID, had definitely given us. Right now. With the cur"
CATEGORY_COVID,175,COVID,"n to the crop rotation is an example of that. and COVID, is an encouragement to, I guess what I say to th"
CATEGORY_COVID,178,pandemic,"nd so hopefully we don't encounter another global pandemic, yet if we do, we're going to be more prepared, y"
CATEGORY_COVID,184,pandemic,"ause I think that's the, like, the largest global pandemic that we have experience, you know? I mean, of cou"
CATEGORY_Culture,92,traditional,"s some sort of structure when it comes to elders, traditional singers, medicine men, you know, the community me"
CATEGORY_Culture,155,cultural," that, watch and learn upbringing, of course, and cultural kind of basis, so I always say that for me in sch"
CATEGORY_Culture,92,elder," sitting in a board meeting, and there's a couple elder elderly individuals that are on the board, and wh"
CATEGORY_Employment,104,employee,"one of my main goals as a manager coming on as an employee, and especially as an office manager."
CATEGORY_Employment,119,employee,"for a reason, just like I was hired when I was an employee. So it's been a great opportunity to be able to, "
CATEGORY_Employment,125,employee,"ll put her on… bring her on as a full-time worker employee, so it's been an adjustment, but just being able "
CATEGORY_Employment,131,employee,"hey, as she called, Farmerly Highlights. It was a employee highlight of different… every week or every month"
CATEGORY_Employment,149,employee,"of issue within the community, whether that be an employee or community members. So, again, training, whethe"
CATEGORY_Employment,40,staff,"he cooperative, I should say? Are you a member, a staff, board, management member?"
CATEGORY_Employment,43,Staff,"ment, though, is, like, I try not to do too much. Staff and education are what we try to do, being able t"
CATEGORY_Employment,43,staff," and apply it to my job, training and teaching my staff and giving everything that they need to be better"
CATEGORY_Employment,43,staff,at they need to be better employees and top-notch staff to be able to provide revenue and production for 
CATEGORY_Employment,55,staff,"are the members of the cooperative. Myself and my staff, as employees are the operation part of the busin"
CATEGORY_Employment,61,staff,partment as they're loading hay bales. Operations staff is getting ready to plant wheat in the fields as 
CATEGORY_Employment,86,staff,"f adaptation, whether it be with… internally with staff members, or it be with businesses or vendors. Whe"
CATEGORY_Employment,92,staff,"it. And, it's also a thing to say that most of my staff are within the age of 29 to 35, or maybe even 40."
CATEGORY_Employment,104,staff,"rs come out and do some planting with some of the staff we've had some of the, the youth days where the k"
CATEGORY_Employment,113,staff," hire non-member, like, non-member management and staff? Do they want to be…"
CATEGORY_Employment,119,staff,"and the Youth Monitor Program, the biggest staff I've ever had, so it was a little unusual to be g"
CATEGORY_Employment,119,staff,", you know, I'm not the do-it-all manager, I have staff, these people were hired for a reason, just like "
CATEGORY_Employment,119,staff," at this time of the year, we're always busy. But staff with 23 people now, and I always get praise from…"
CATEGORY_Employment,125,staff,", again, just refocusing that, opportunity to the staff and teaching them what they need to do. It's been"
