Tag_Category,Line_Number,Matched_Text,Context
CATEGORY_COVID,174,Covid,"as community shifts, you know. Like, for example, Covid, right was a huge."
CATEGORY_COVID,180,Covid,"ght? And I think one of the things that came from Covid was that we all shifted online. You know, we, our"
CATEGORY_COVID,369,Covid,"entioned previously, with like your approaches to Covid, as like everybody had to like pivot and shift, a"
CATEGORY_COVID,384,Covid,"d before I also get into all of the content about Covid, I was not a staff member when Covid hit at the C"
CATEGORY_COVID,384,Covid,"ontent about Covid, I was not a staff member when Covid hit at the Coalition. I was still in Arizona, doi"
CATEGORY_COVID,420,Covid,he communities and making sure that they received Covid protection resources we also gave gave out Covid 
CATEGORY_COVID,420,Covid, Covid protection resources we also gave gave out Covid tests for free. Once those became available and w
CATEGORY_COVID,423,covid,"e to hand that hand those out as well. And so our covid, you know, mitigation that we practiced way back "
CATEGORY_COVID,180,pandemic,Nicole Michelena | CSVANW: pandemic that affect everybody's lives right? And I think 
CATEGORY_COVID,372,pandemic,"like, Wow, are, we're in the midst of this global pandemic. And so, you know, like, how did how did the Coal"
CATEGORY_COVID,411,pandemic,"t our community. And we recognize that during the pandemic, you know, there were a lot of, you know, closure"
CATEGORY_COVID,387,virtual,elena | CSVANW: And so we moved all of our events virtual. So we still hosted trainings. We still hosted we
CATEGORY_COVID,390,virtual,"tly went. But I know that it was all shifted to a virtual platform. And we continue to do that today, we co"
CATEGORY_Culture,69,traditional, cooperatives or these organizations to reinforce traditional systems
CATEGORY_Culture,468,traditional,"ole Michelena | CSVANW: you know, violence is not traditional. That's something that we promote out there all t"
CATEGORY_Culture,87,cultural,"ant to continue to carry in our work all of those cultural practices, all of that knowledge that is near and"
CATEGORY_Culture,69,indigenous,Jodi Burshia: So some indigenous communities use these cooperatives or these organ
CATEGORY_Culture,93,indigenous,ifferent ways. And so we incorporate all of those indigenous practices into our
CATEGORY_Culture,105,indigenous,"at were created were created 30 years ago, when 3 indigenous women from different tribes came together and dec"
CATEGORY_Culture,105,indigenous,r and decided that there are no resources for for indigenous women as far as combating domestic violence. And 
CATEGORY_Culture,255,indigenous,"the State in in supporting, missing, and murdered indigenous women's crisis. They have a lot of tools that the"
CATEGORY_Culture,261,indigenous,g here in New Mexico for our missing and murdered indigenous women and children
CATEGORY_Culture,297,indigenous,"t region would be in Arizona. It's the Southwest, indigenous women's coalition really, really wonderful"
CATEGORY_Culture,324,Indigenous,"my goodness, I'm forgetting their Niwrc national, Indigenous Women's Resource Center."
CATEGORY_Culture,357,indigenous,to combat violence? And how can we pull from your indigenous knowledge systems for our indigenous knowledge sy
CATEGORY_Culture,357,indigenous,"ll from your indigenous knowledge systems for our indigenous knowledge systems to, you know, collaborate acros"
CATEGORY_Employment,579,employee," well, and I think for us, I think now our oldest employee is"
CATEGORY_Employment,36,staff,e place. As far as location in New Mexico we have staff that are located also in different parts of New M
CATEGORY_Employment,108,staff," we are. We are now that organization. We have 18 staff, and we carry all of these different important th"
CATEGORY_Employment,201,staff,"ion. It's not just our leaders. It's not just our staff that are leading, but it's our community and our "
CATEGORY_Employment,219,staff,mber one is community relationships. A lot of our staff have been involved in their own pueblos and commu
CATEGORY_Employment,222,staff,"r one would be community connections. Some of our staff are like, Oh, I know my tribal leader. I can go s"
CATEGORY_Employment,243,staff,"hip, for advocates and for their, you know, their staff and also community members and community partners"
CATEGORY_Employment,300,staff,"Nicole Michelena | CSVANW: staff, and does very similar work that we do. But their"
CATEGORY_Employment,303,staff,"ut, you know, when we're having issues with maybe staff or our board of directors. Or if we're having iss"
CATEGORY_Employment,327,staff,"ing opportunities we have received because of our staff, who are very passionate and strong, willed and r"
CATEGORY_Employment,330,staff,": And so, you know, we we do carry a lot, and our staff carry a lot, and you know I'm going to be very tr"
CATEGORY_Employment,384,staff," into all of the content about Covid, I was not a staff member when Covid hit at the Coalition. I was sti"
CATEGORY_Employment,384,Staff,"ere at the organization, but what I've heard from Staff during that period."
CATEGORY_Employment,417,staff,"ities who would meet up, you know, with different staff or different community partners who were able to "
CATEGORY_Finance,198,grant,bership driven because we are a nonprofit. We get grant funding. But a lot of our support also comes thro
CATEGORY_Finance,438,grant,us on prevention. And we actually just received a grant which I'm really excited about to host a needs as
CATEGORY_Finance,198,funding,p driven because we are a nonprofit. We get grant funding. But a lot of our support also comes through our 
CATEGORY_Finance,303,funding,"one of the really helpful things is we talk about funding we talk about, you know, when we're having issues"
CATEGORY_Finance,327,funding,be doing the work that we're doing because of the funding opportunities we have received because of our sta
CATEGORY_Finance,432,funding,current space that we are in right now. As far as funding and trying to navigate some of the conversations 
CATEGORY_Finance,591,funding,"realities of the struggles of an organization and funding is really tight right now. And you know, we're tr"
CATEGORY_Geography,36,location," Mexico, but we are all over the place. As far as location in New Mexico we have staff that are located also"
CATEGORY_Geography,39,community,diverse group of individuals that can support our community needs where they where they arise.
CATEGORY_Geography,45,community,Jodi Burshia: So what brought the community together to start the organization like what was 
CATEGORY_Geography,51,community,"ll. Our purpose is to provide advocacy to provide community resources. And to, I think, one of the things we "
CATEGORY_Geography,51,community,"k, one of the things we value the most is meeting community where they're at. And so our, of course, our our "
CATEGORY_Geography,57,community,"ounds from them, and also training our our tribal community advocates about confidentiality, because we under"
CATEGORY_Geography,60,community,ena | CSVANW: from the system and getting back to community. And so we want to avoid that from happening and 
CATEGORY_Geography,87,community," you know, we don't just carry practices from one community, but we think about what are things in the Pueblo"
CATEGORY_Geography,141,community,rganizational or our organization's awareness and community.
CATEGORY_Geography,165,community,"rshia: Oh, I'm sorry, or to meet the needs of the community that that you were that you were seeing like, did"
CATEGORY_Geography,165,community, shape your organization to meet the needs of the community? Or did you see that the needs of the community w
CATEGORY_Geography,165,community,e community? Or did you see that the needs of the community weren't being met by your organization?
CATEGORY_Geography,171,community,"ena | CSVANW: constantly innovative, based off of community needs. And I I think that our mission and our vis"
CATEGORY_Geography,174,community,"Nicole Michelena | CSVANW: you know, to shift as community shifts, you know. Like, for example, Covid, right"
CATEGORY_Geography,183,community,"hink that's a good example of how we pivoted with community, but also"
CATEGORY_Geography,192,community, just a couple of examples. But we definitely are community oriented. Everything that we do. We pull feedback
CATEGORY_Geography,195,community,we are responding. And maybe there's something in community that we're lacking. And so we try to be led by ou
CATEGORY_Geography,195,community,hat we're lacking. And so we try to be led by our community. And another way that we do that is also through 
CATEGORY_Geography,201,community,"not just our staff that are leading, but it's our community and our members who are helping us lead the work "
CATEGORY_Geography,219,community,know the biggest things that we do. Number one is community relationships. A lot of our staff have been invol
CATEGORY_Geography,222,community," and like the President, for example. But but our community members are very engaged within their own communi"
CATEGORY_Geography,222,community,"their own communities, and so number one would be community connections. Some of our staff are like, Oh, I kn"
CATEGORY_Geography,228,community,at helps us build rapport and helps us build that community support with tribal leaders is tribal consultatio
CATEGORY_Geography,243,community,"tes and for their, you know, their staff and also community members and community partners. You know, that ar"
CATEGORY_Geography,243,community," know, their staff and also community members and community partners. You know, that are involved in the work"
CATEGORY_Geography,384,community,out how we pivoted and how we continue to support community. That's also what I'm going to provide. So I just
CATEGORY_Geography,396,community,tates. And so that's how we continue to pivot for community and continue to provide accessibility for this th
